Key,Values
EightJack:FiveFour,0.047555699944496155,0.952444314956665
EightJack:FiveFourNine,0.4486355483531952,0.5513644218444824
EightJack:FiveFourTen,0.26926806569099426,0.7307319641113281
EightJack:FiveKing,0.5,0.5
EightJack:FiveNine,1,0
EightJack:FiveQueen,0.5,0.5
EightJack:FiveSeven,1,0
EightJack:FiveSevenNine,0,1
EightJack:FiveSevenTen,0,1
EightJack:FiveSix,0.5,0.5
EightJack:FiveSixNine,0,1
EightJack:FiveSixTen,0,1
EightJack:FiveTen,0.5,0.5
EightJack:FiveThree,0.4827086925506592,0.5172913074493408
EightJack:FiveThreeNine,0.5,0.5
EightJack:FiveThreeTen,0.5,0.5
EightJack:FiveTwo,0.5,0.5
EightJack:FiveTwoNine,0.5,0.5
EightJack:FiveTwoTen,0.3333333432674408,0.6666666865348816
EightJack:FourAce,0.5,0.5
EightJack:FourFive,0.949908971786499,0.05009102076292038
EightJack:FourFiveNine,0,1
EightJack:FourFiveTen,0,1
EightJack:FourKing,0.5,0.5
EightJack:FourNine,0.5101014971733093,0.4898985028266907
EightJack:FourQueen,0.5,0.5
EightJack:FourSeven,0.5434837937355042,0.45651617646217346
EightJack:FourSevenNine,0,1
EightJack:FourSevenTen,0,1
EightJack:FourSix,0.8058937191963196,0.19410628080368042
EightJack:FourSixNine,0,1
EightJack:FourSixTen,0,1
EightJack:FourTen,0.5,0.5
EightJack:FourThree,0.5,0.5
EightJack:FourThreeNine,0.12972865998744965,0.8702713251113892
EightJack:FourThreeTen,0.19906969368457794,0.8009303212165833
EightJack:FourTwo,0.267081618309021,0.732918381690979
EightJack:FourTwoNine,0.5,0.5
EightJack:FourTwoTen,0.5,0.5
EightJack:KingAce,1,0
EightJack:KingAceNine,0.10000000149011612,0.8999999761581421
EightJack:KingAceTen,0.5,0.5
EightJack:KingFive,0.5,0.5
EightJack:KingFiveNine,0,1
EightJack:KingFiveTen,0,1
EightJack:KingFour,0,1
EightJack:KingFourNine,0,1
EightJack:KingFourTen,0,1
EightJack:KingNine,0.5,0.5
EightJack:KingQueen,0.5,0.5
EightJack:KingSeven,0,1
EightJack:KingSevenNine,0,1
EightJack:KingSevenTen,0,1
EightJack:KingSix,0.5,0.5
EightJack:KingSixNine,0,1
EightJack:KingSixTen,0,1
EightJack:KingTen,0.5,0.5
EightJack:KingThree,0,1
EightJack:KingThreeNine,0,1
EightJack:KingThreeTen,0,1
EightJack:KingTwo,0.5,0.5
EightJack:KingTwoNine,0,1
EightJack:KingTwoTen,0,1
EightJack:NineAce,0.5,0.5
EightJack:NineAceTen,0.5,0.5
EightJack:NineFive,0.5,0.5
EightJack:NineFiveTen,0.5,0.5
EightJack:NineFour,0.5,0.5
EightJack:NineFourTen,0.5,0.5
EightJack:NineKing,0.5,0.5
EightJack:NineKingTen,0.5,0.5
EightJack:NineQueen,0.5,0.5
EightJack:NineQueenTen,0.5,0.5
EightJack:NineSeven,0.5,0.5
EightJack:NineSevenTen,0.5,0.5
EightJack:NineSix,0.5,0.5
EightJack:NineSixTen,0.5,0.5
EightJack:NineTen,0.5,0.5
EightJack:NineThree,0.5,0.5
EightJack:NineThreeTen,0.5,0.5
EightJack:NineTwo,0.5,0.5
EightJack:NineTwoTen,0.5,0.5
EightJack:QueenAce,1,0
EightJack:QueenAceNine,0.1666666716337204,0.8333333134651184
EightJack:QueenAceTen,0.5,0.5
EightJack:QueenFive,0,1
EightJack:QueenFiveNine,0,1
EightJack:QueenFiveTen,0,1
EightJack:QueenFour,0.5,0.5
EightJack:QueenFourNine,0,1
EightJack:QueenFourTen,0,1
EightJack:QueenKing,1,0
EightJack:QueenKingNine,0,1
EightJack:QueenKingTen,0,1
EightJack:QueenNine,0.5,0.5
EightJack:QueenSeven,0.5,0.5
EightJack:QueenSevenNine,0,1
EightJack:QueenSevenTen,0,1
EightJack:QueenSix,0.5,0.5
EightJack:QueenSixNine,0,1
EightJack:QueenSixTen,0,1
EightJack:QueenTen,0.5,0.5
EightJack:QueenThree,0.5,0.5
EightJack:QueenThreeNine,0,1
EightJack:QueenThreeTen,0,1
EightJack:QueenTwo,0,1
EightJack:QueenTwoNine,0,1
EightJack:QueenTwoTen,0,1
EightJack:SevenAce,0.5,0.5
EightJack:SevenFive,0.5,0.5
EightJack:SevenFiveNine,0.5,0.5
EightJack:SevenFiveTen,0.5,0.5
EightJack:SevenFour,0,1
EightJack:SevenFourNine,0.5,0.5
EightJack:SevenFourTen,0.5,0.5
EightJack:SevenKing,0.5,0.5
EightJack:SevenNine,1,0
EightJack:SevenQueen,0.5,0.5
EightJack:SevenSix,0.5,0.5
EightJack:SevenSixNine,0.3874764144420624,0.6125235557556152
EightJack:SevenSixTen,0.5,0.5
EightJack:SevenTen,0.5,0.5
EightJack:SevenThree,0,1
EightJack:SevenThreeNine,0.5,0.5
EightJack:SevenThreeTen,0.5,0.5
EightJack:SevenTwo,0,1
EightJack:SevenTwoNine,0.5,0.5
EightJack:SevenTwoTen,0.5,0.5
EightJack:SixAce,0.5,0.5
EightJack:SixFive,0.0011711985571309924,0.9988288283348083
EightJack:SixFiveNine,0.10669438540935516,0.8933055996894836
EightJack:SixFiveTen,0.15386667847633362,0.8461333513259888
EightJack:SixFour,0.5,0.5
EightJack:SixFourNine,0.5,0.5
EightJack:SixFourTen,0.5,0.5
EightJack:SixKing,0.5,0.5
EightJack:SixNine,0.9988946318626404,0.0011053609196096659
EightJack:SixQueen,0.5,0.5
EightJack:SixSeven,1,0
EightJack:SixSevenNine,0,1
EightJack:SixSevenTen,0,1
EightJack:SixTen,0.5,0.5
EightJack:SixThree,0.5,0.5
EightJack:SixThreeNine,0.05919215455651283,0.9408078193664551
EightJack:SixThreeTen,0.07917974889278412,0.9208202362060547
EightJack:SixTwo,0,1
EightJack:SixTwoNine,0.5,0.5
EightJack:SixTwoTen,0.5,0.5
EightJack:TenAce,0.98328697681427,0.01671299897134304
EightJack:TenAceNine,0.5,0.5
EightJack:TenFive,0.01832342892885208,0.9816765785217285
EightJack:TenFiveNine,0.5,0.5
EightJack:TenFour,0.5,0.5
EightJack:TenFourNine,0.5,0.5
EightJack:TenKing,0.9119756817817688,0.08802429586648941
EightJack:TenKingNine,0.5,0.5
EightJack:TenNine,0.5,0.5
EightJack:TenQueen,0.9851646423339844,0.014835352078080177
EightJack:TenQueenNine,0.5,0.5
EightJack:TenSeven,0.5,0.5
EightJack:TenSevenNine,0.5,0.5
EightJack:TenSix,0.5,0.5
EightJack:TenSixNine,0.5,0.5
EightJack:TenThree,0.5,0.5
EightJack:TenThreeNine,0.19808223843574524,0.8019177913665771
EightJack:TenTwo,0.5,0.5
EightJack:TenTwoNine,0.5,0.5
EightJack:ThreeAce,0.5,0.5
EightJack:ThreeFive,0.9420214891433716,0.05797852203249931
EightJack:ThreeFiveNine,0,1
EightJack:ThreeFiveTen,0,1
EightJack:ThreeFour,0.946082592010498,0.05391741544008255
EightJack:ThreeFourNine,0,1
EightJack:ThreeFourTen,0,1
EightJack:ThreeKing,0.5,0.5
EightJack:ThreeNine,0.9587857723236084,0.04121420904994011
EightJack:ThreeQueen,0.5,0.5
EightJack:ThreeSeven,0.5,0.5
EightJack:ThreeSevenNine,0,1
EightJack:ThreeSevenTen,0,1
EightJack:ThreeSix,0.9432082772254944,0.056791722774505615
EightJack:ThreeSixNine,0,1
EightJack:ThreeSixTen,0,1
EightJack:ThreeTen,0.5,0.5
EightJack:ThreeTwo,0.5,0.5
EightJack:ThreeTwoNine,0.5,0.5
EightJack:ThreeTwoTen,0.5,0.5
EightJack:TwoFive,1,0
EightJack:TwoFiveNine,0,1
EightJack:TwoFiveTen,0,1
EightJack:TwoFour,0.9484142065048218,0.05158581584692001
EightJack:TwoFourNine,0,1
EightJack:TwoFourTen,0,1
EightJack:TwoNine,0.5,0.5
EightJack:TwoQueen,0.5,0.5
EightJack:TwoSeven,0.5,0.5
EightJack:TwoSevenNine,0,1
EightJack:TwoSevenTen,0,1
EightJack:TwoSix,0.5,0.5
EightJack:TwoSixNine,0,1
EightJack:TwoSixTen,0,1
EightJack:TwoTen,0.5,0.5
EightJack:TwoThree,0.9752531051635742,0.024746911600232124
EightJack:TwoThreeNine,0,1
EightJack:TwoThreeTen,0,1
EightJackAce:,0.002755776047706604,0.9972442388534546,0
EightJackAce:King,1,0,0
EightJackAce:Nine,0,1,0
EightJackAce:Queen,1,0,0
EightJackAce:Ten,0,1,0
EightJackKing:,0.27703842520713806,0.42595675587654114,0.2970048189163208
EightJackKing:Nine,0,0.9984368681907654,0.0015631193527951837
EightJackKing:Queen,0,0,1
EightJackKing:Ten,0,0.9904831051826477,0.009516903199255466
EightJackQueen:,0,0.32860997319221497,0.6713900566101074
EightJackQueen:Nine,0,0.5,0.5
EightJackQueen:Ten,0,0.5,0.5
EightKing:AceFive,0.5,0.5
EightKing:AceFiveJack,0,1
EightKing:AceFiveNine,0,1
